latitude,longitude
42.3490959,-71.0835404
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.3461225,-71.0455997
42.2861781,-71.1280426
42.2861781,-71.1280426
42.3492416,-71.0844487
42.3492416,-71.0844487
